状態、ありさま、様子、興奮状態、威厳、威儀、荘厳、公式、国家、国
(昔、罪人の死刑に用いた)十字架、はりつけ台、キリストがはりつけにされた十字架、(十字架に象徴される)キリスト教(国)、十字形、十字記号、(誓言・祝福などの時空中または額・胸などの上で切る)十字の印、×印、十字標
生涯、経歴、履歴、(特別な訓練を要する)職業、生涯の仕事、疾走
(新聞・雑誌の)記事、論説、(条約・契約などの)個条、条項、条款、年季契約、物品、品物、品目、(同種のものの)一個
(一国の)資源、供給源、物資、財源、資力、資産、(万一の時の)頼み、方策、やりくり、(内に秘めた)力
懇願する、哀願する、頼む、要請する、訴える、上訴する、控訴(こうそ)する、アピールする、抗議する、気に入る
(…に)影響を及ぼす、作用する、(…に)悪影響を及ぼす、感動させる、冒す、(…の)ふりをする、ぶる、ふりをする、(…を)好んで用いる、とる傾向がある
生産、産出、製造、製作、生産量、産出高、演出、上演、(映画)製作、上演作品
(映画・テレビなどの特定の)場面、シーン、(劇・映画などの)舞台面、背景、道具立て、書き割り、(舞台面を思わせるような)景色、風景、光景、(社会の)情勢
小室、(修道院付属の)庵室、個室、(刑務所の)独房、(小人数の)監房、(ハチの巣の)穴、細胞、(共産党などの政治組織または秘密結社などの)支部、電池
形、形状、かっこう、(抽象的な)形、本来の形、姿、様子、なり、(おぼろげな・奇怪な)物の姿、幻影
郵便、郵便制度、郵便物、(1 回の便で集配される)郵便物、(1 便の)郵便物集配、郵便箱、ポスト、郵便局、郵便公社、…新聞
着席(すること)、着座、肖像のモデルになること、(座って中断せずに行なう)ひと仕事、(議会などの)会期、開会期間、(一団の人々に割りふられた)食事時間、(鳥が)巣につくこと、1 回にかかえる卵
(絵の具で)絵をかくこと、画法、(1 枚の)絵、油絵、水彩画、ペンキ塗装、彩色、(陶磁器の)絵付け
機能、働き、作用、目的、職務、職能、職分、役目、儀式、行事
損害、損傷、被害、費用、代価、勘定、損害賠償(額)
できること、能力、技量、力量、才能
得る、(努力して)得る、手に入れる、(勤労などによって)得る、稼ぐ、もうける、(…を)得させる、もたらす、(競争して)獲得する、勝つ
現代の、近世の、近代の、(言語史で)近代の、現代式の、近代的な、最新の、モダンな
重さ、重量、体重、重力、重いもの、(はかりの)分銅(ふんどう)、おもし、文鎮、紙押さえ、(運動競技用の)砲丸
(石・木などの)かたまり、木塊、石塊、(おもちゃの)積み木、(建築用)ブロック、台木、台盤、(木版の)版木、(印刷の)凸版台、帽子型
傾向がある、(…し)がちである、(…の)傾向がある、役立つ、資する、(…に)貢献する、(…に)向かう、向かっていく
ああ!、おお!
裁判、公判、審理、(良否・性能などの)試み、試験、ためし、試練、災難、苦労、うるさい人
(知覚できる)物、物体、対象、目的、目標、おかしなもの、目的語、客観、客体
接近、立ち入り、出入り、入手、利用、(…に)近づく方法、利用の権利、アクセス、通路、入口
(高い所などから)見渡す、見晴らす、(上から下まで)しげしげ見る、(…を)概観する、概説する、査定する、調査する、測量する
(場所を表わして)至る所、すっかり、すみからすみまで、(時間を表わして)その間ずっと、終始
根源の、最初の、初期の、起源の、独創的な、創意に富む、奇抜な、新奇な、原型の
熟練者、専門家
もがく、あがく、努力する、(…と)戦う、争う、(…に)取り組む、苦心して押し分けていく
個条、項目、条項、種目、品目、細目、(新聞・テレビの記事の)一項、うわさのたね
(本・映画・絵などの)表題、題名、称号、肩書き、敬称、爵位、(正当な)権利、(主張しうる)資格、権利、資格
反射する、反響する、映す、(…に)映す、映し出す、(…を)反映する、表わす、(…を)(…に)反映する、示す、(結果として)(…に)招く
(政府などの)予算案、予算(額)、経費、予算、家計、生活費、(特定の目的のための)予算額
話す人、話し手、演説者、弁士、雄弁家、(下院、その他の議会の)議長、スピーカー、拡声器
年上のほうの、年上で、上で、先輩の、先任の、古参の、上位の、(4 年制大学・高校の)最上級の、(2 年制大学の)2 年級の、(3 年制高校の)3 年級の
(判断の根拠が比較的薄い形で)思う、思う、考える、たぶんでしょう、(…が)思う、いただけませんか、(…と)仮定する、想定する、もしならば、したら(どうだろう)
ねらいをつける、向ける、(…に)向ける、当てつける
疑う、(…を)疑う、(…を)疑わしいと思う、信用しない、疑わしいと思う、なさそうだと思う
(動作・行動などの)速いこと、速さ、迅速(じんそく)、速度、スピード、(自動車などの)変速ギヤ、覚醒剤、成功、繁栄、幸運
(職権・任務の)委任、委託、委任状、(委任された)仕事、任務、依頼、注文、頼みごと、(官庁などの調査・管理などを委託された)委員会、委員会の人たち
明確な、疑いのない、否定しがたい、はっきりした、直截な、完全な、まったくの、確信して、(…を)確信して、自信のある
…でない限り、もし…でなければ、…なら話は別だが
(特定の地域における組織的で大規模な)戦い、戦闘、(個々の)戦争、闘争、勝利、成功
責任、責務、義理、(具体的な)責任、負担、重荷、信頼性、確実度
展示する、陳列する、飾る、表に出す、発揮する、(…を)見せる、広げる
犠牲(者)、被害者、かも、えじき、(宗教的儀式における)いけにえ、人身御供(ひとみごくう)
(高い所などに)かける、つるす、かける、下げる、垂らす、うなだれる、絞首刑に処する、しばり首にする、首をつって死ぬ、(…を)のろう
一般に、広く、あまねく、多くの人に、普通(は)、通例、通常、概して、大体、大体において
(動植物分類上の)種(しゆ)、種類
吹く、(風に)吹かれて動く、風に吹かれて(…と)なる、息を吹く、風を出す、(…に)息を吹きかける、(…を)吹いて鳴らす、潮を吹く、ハーハーあえぐ、鳴る
基礎の、基本的な、(…に)基本的で、塩基性の、必要最小限のもので、初歩的で
主人、雇い主、(一家の)家長、支配者、主君、(動物・奴隷の)所有主、飼い主、(商船の)船長、(特殊な技芸の)師匠、(職人の)親方
(…に)取って代わる、(…の)後任になる、(…を)取り替える、交換する、(…を)(…と)取り替える、(…を)もとの所に置く、戻して置く
(書物・論文の)章、(人生・歴史などで一章をなすと思われる)重要な一区切り、一連の出来事、集会、総会、(同窓会・クラブ・組合・協会の)支部、分会、(cathedral または collegiate church の) (聖堂)参事会、(修道院・騎士団などの)総会
初め、始まり、初心者向けの、初めのころ、初期、幼少のころ、起源、起こり
結局は、ついに(は)、やがて(は)
代理人、代理店、仲介者、周旋人、外交員、(官庁の)代表者、公吏、事務官、スパイ、調査官
(口頭で)返答する、応答する、(…に)返答する、(…で)(動作で)応じる、応酬する、a反応する、好ましい反応を示す、牧師に応唱する
独立した、自主の、自治の、自由な、(他に)頼らない、自主的な、独立して、(…に)頼らないで、依存しないで、独立心の強い
秘密の、内密の、ないしょの、秘密で、隠れた、人目につかない、奥まった、秘密を守って、口が堅くて、公表されていない
安全、無事、無難、(銃の)安全装置、安打、ヒット、セーフティ
顧客、得意先、取引先、(…な)やつ、(…な)人
(大きい)船、(交通手段として見た)船、競漕用ボート、飛行船、(大型の)航空機、宇宙船、(船の)全乗組員
文、文章、判決、(刑事上の)宣告、刑、(…の)刑
解決(策)、解明、解答、溶かすこと、溶解、溶液、溶剤
(専門)技術、技巧、テクニック、(芸術・スポーツなどの)手法、技法、方法、やり方、技術
(秩序のない雑然とした)群衆、大勢、人込み、民衆、大衆、多数の、たくさんの、連中、仲間、グループ
被雇用者、従業員
現実(性)、真実性、実在、真実、事実、現実、実物そっくりなこと、迫真性
選択、取捨、選択権、選択できるもの、選択肢、(自動車などの)オプション、選択売買権、オプション
(通例まっすぐな線に並んだ人・ものの)列、並び、(劇場・教室などの)(横の)席列、(両側に家並みのある)通り、町、…街、…通り、こぐこと、ボート遊び、ボートこぎの距離
当てる、充当する、専有する、私用に供する、着服する、盗む
(時間・空間的に)離れて、別れて、別々に、離れて、離れ離れに、ばらばらに、一方へ、わきへ、(ある目的・用途のために)別にして、個別的に
答える、返事をする、応答する、答弁する、(…に)答える、答辞を述べる、応じる、応酬する
見積もり、概算、推定、概算書、見積書、(人物などの)評価、価値判断
(他より)有利、好都合、(他より有利な立場にあることから生じる)利益、有利な点、強み、長所、アドバンテージ
(…を)隠す、隠れる、見えないようにする、かくまう、あらわに出さない、秘密にする、ひどく(むち)打つ
距離、道のり、間隔、かなりの距離、遠方、隔たり、経過、広がり、(血縁・身分などの)相違、懸隔
構想、発想、コンセプト、考え、概念
会話、談話、対話、座談、(政府・政党などの代表者による)非公式会談
(金銭上の)利益、利得、もうけ、得、益
読むこと、読書、朗読、学識、(特に)文学上の知識、判断、解釈、演出法、読み方、示度
全体の、全部の、そっくりそろっている、無傷の、壊れていない、(程度が)完全な、まったくの
(風・熱よけまたは目隠し・装飾用の)ついたて、びょうぶ、仕切り、(窓・戸などの防虫用)網、網戸、(教会の)内陣仕切り、遮蔽(しやへい)物、保護物、目隠し、(映画・スライドの)スクリーン
(…を)(意識的に)思い出す、思い出す、(…が)思い出す、(…を)思い出させる、思い出させる、(…へ)呼び戻す、(…へ)(解任するために)召還する、回収する、リコールで解任する、リコールする
4 分の 1、四半分、15 分、25 セント、25 セント貨、四半期、(4 支払期の) 1 季、(4 学期制学校の) 1 学期、クォーター、4 分の 1 ヤード
確実にする、保証する、確保する、(…を)保証する、守る、安全にする
旋回、回転、変転、方向転換、曲がりくねり、曲がり角、旋盤細工(法)
進水させる、水面におろす、送り出す、乗り出させる、乗り出す、発売する、放つ、発射する、発進させる、打ち上げる
だれでも、だれも、だれか
表現(すること)、表われ、しるし、(言葉の)言い回し、語法、語句、辞句、(顔・目などの)表情、顔つき、表情豊かなこと
(攻撃・危険などに備えて)(…を)守る、護衛する、(…を)守る、保護する、見張る、監視する、番をする、抑制する、(…に)危険防止の装備をする
勝利、戦勝
毎日の、日刊の、日常の、一日計算の
比較上の、相対的な、相関的な、(…と)関係があって、関連して、(…に)呼応して、比例して、関係を示す、関係詞に導かれた
脳、脳髄、(食物としての)脳、(知性の中心としての)頭脳、知力、頭のいい人、秀才、知的指導者、ブレーン、(ミサイルなどの)頭脳部
規則正しい、規則的な、秩序整然とした、系統立った、均整のとれた、規則変化の、定期の、定例の、きちんとある、正常な
(陸上の)乗り物、輸送機関、車両、(宇宙空間の)乗り物、媒介物、媒体、伝達手段、発揮する手段、はけ口、売り込みの手段
視力、視覚、見ること、見えること、一見、視界、視域、光景、風景、眺め
閉める、閉じる、(…を)閉める、閉ざす、たたむ、(…を)(…に)閉じ込める、囲む、ふさぐ、(…に)閉じこもる、(…に)はさむ
一見、ひと目、一瞥(べつ)、ちらりと見ること、(…の)閃光(せんこう)、きらめき、一閃(せん)、それること
十分に、完全に、まる(まる)、たっぷり、優に
逃げる、逃亡する、脱出する、(…へ)逃げる、逃れる、(危険・災難などから)逃れる、免れる、漏れ(出)る、はみ出ている
広さ、大きさ、広がり、(広い)地域、程度、限度、範囲
繰り返す、繰り返して言う、重ねて言う、(…と)繰り返して言う、同じことを繰り返して言う、復唱する、暗唱する、そのまま伝える、他言する、(…を)繰り返して行なう
(疑問の余地がないほど)明らかな、明白な、すぐにわかる、理解しやすい
危険(状態)、危険の原因となるもの、脅威
(…に)配達する、(…に)伝える、(…を)(…に)引き渡す、明け渡す、手渡す、(…に)加える、(…に)投げる、する、b上げる、述べる
(…を)進める、(…を)(…へ)前進させる、(…へ)昇進させる、進める、促進する、(…へ)早める、繰り上げる、前払いする、前貸しする、提出する
画廊、美術品陳列室、ギャラリー、美術館、天井桟敷(さじき)、天井桟敷の見物人、大向こう、(テニス・ゴルフなどの試合の)観客、見物人、(教会堂・会館などの)中二階
(正しいと)確かめる、確認する、確証する、強める、固める、固めさせる、ますます強くさせる、(裁可・批准などで)承認する、追認する、堅信礼を施す
(前もって)感づく、うすうす気づく、容疑をかける、怪しいと思う、(…の)疑いをかける、疑いをかける、思う、(…が)思う、疑う、怪しむ
(…に)昇進させる、進級させる、(…を)増進する、促進する、助長する、奨励する、売り込む、通過に努める、発起する、興業を主催する
(植物の)根、根菜類、(舌・耳・翼・指などの)付け根、根元、(歯・毛・つめなどの)根、根源、根本、核心、基礎、ルーツ
幅の広い、広々とした、幅が…の、広い、とらわれない、包容力の大きい、広範囲の、一般の、大ざっぱな、広く注がれた
強く打つ、(…を)強く打って(…に)する、(…に)打ち込む、たたき込む、教え込む、(…を)(…に)打ち当てる、あっと言わせる、びっくりさせる、(…を)こきおろす、けなす
ポケット、ポケット状のもの、(列車・飛行機などの座席についている)網袋、(自動車のドア内側の)物入れ、(窓枠などの)戸袋、空洞、(カンガルーなどの)袋、(ミットの)凹所、所持金、資力
思い出させる、思い起こさせる(ように言う)、気づかせる、注意する、思い出す、(…に)思い出させるために言う
視力、視覚、(学者・思想家などの)洞察力、先見の明、(政治家などの)未来像、ビジョン、(頭に描く)幻、幻想、夢、(宗教的な)幻影
急ぐ、急行する、急いで行動する、(ある方向に)突進する、殺到する、突撃する、急いでする、性急に移る、急に(…に)起こる、ボールを持って突進する
むしろ(…の)ほうを好む、むしろ(…を)選ぶ、ほうを好む、(…に)もらいたい、(…が)ほうがよい、(…が)ほうがいい、(…に)登用する、抜てきする、昇進させる、提起する
(一定点を軸に前後にまたはぐるぐると規則正しく)揺れ動く、ぶらぶら揺れる、ぶらんこをする、ぶらんこに乗る、行ったり来たりする、(…へ)行き来する、(ちょうつがいで)動く、(前後に)揺れてなる、ぶらさがる、ぶらさがりながら進む
採用する、(自分のものとして)取り入れる、(会議で)採択する、(正式に)承認する、養子にする、(…に)養子として引き取る、公認する、指名する
買う、購入する、(努力または犠牲を払って)(…を)得る
仕方、流儀、…風、…流に、…のように、(服装・風習などの)流行、はやり(の型)、時の好み、流行の様式、(服などの)ファッション
(穴などに自然にできた)水たまり、(庭などに人工的に作った)小さな池、(水泳)プール、たまり、(川の水の)よどみ、ふち、とろ
目覚める、起きる、(…に)目覚める、(精神的に)目覚める、覚醒(かくせい)する、(…に)気づく、(…を)悟る、目覚めている、起きている、寝ずにいる
懇願する、要請する、頼む、願う
(議会・会議の)開会(していること)、(裁判所の)開廷(していること)、会議、会合、会期、開会期、(大学の)学期、授業(時間)、(大学の)学年、(特に集団でする一定期間の)活動
(特定の事が起こった)時、場合、折、特別の出来事、行事、祭典、儀式、機会、好機、きっかけ
(小)湾、入り江、山ふところ、格間(ごうま)、(建物の)翼、そで、仕切り部分、(飛行機内の)ベイ、(船の)中甲板最前部、(鉄道・バスの)側線発着ホーム
(…を)結合する、合併させる、連合する、結びつける、合同させる、結合して(…に)する、兼ね備える、兼備する、化合させる
研究員、調査員、探索者、リサーチャー
ダース、12 (個)、1 ダースほど、(かなり)たくさん、数十、多数
否定の、否認の、打ち消しの、否定的な、反対の、拒否の、禁止的な、積極性を欠いた、消極的な、控えめな
よく知っている、見慣れている、ありふれた、熟知して、精通して、よく知られて、親しい、心安い、遠慮気がねのない、打ち解けた
分ける、分割する、(…に)分類する、類別する、(分割して)分ける、分配する、割り当てる、配分する、共に分かつ、分け合う
現在は、今のところ、目下、一般に、広く
(図案・絵画の)線描、製図、(鉛筆・ペン・木炭などで描いた)図画、デッサン、素描、くじ引き、抽選会、hold a drawing 抽選会を催す、(小切手・手形の)振り出し
(世間から信用され敬意を表されるような)名誉、栄誉、面目、体面、(高い地位の人などの好意・交際を受ける)光栄、特権、光栄、道義心、廉恥(れんち)心、自尊心
(科学上の)実験、実験(をすること)、(実地の)試み
燃料、薪炭、たきつけるもの、あおるもの
提案する、(…に)提案する、提出する、(…を)もくろむ、企てる、つもりである、(…を)(…に)推薦する、指名する、(…を)推薦する、申し込む
ひっつかむ、ひっ捕らえる、逃さずに捕らえる、(不正に)さっと横取りする、横領する、(…を)大急ぎで取る、心を(しっかり)つかむ、強い印象を与える
(大陸・大きな島などの)海岸、沿岸、沿岸地方、太平洋沿岸地方、(そりなどの)滑走、滑降、(下り坂での自転車の)惰力走行、(滑走用の)斜面
反対側の、向こう側の、向かい合っている、(…と)向かい側に、正反対の、逆の
歴史の、史学の、史実に基づく、歴史上に実在する、歴史的な、史的な、史学的方法の
(苦痛・心配などの)除去、軽減、ほっとすること、安心、安堵(あんど)、(難民などの)救助、救援、救援物資、気晴らし、息抜き
寝室
(電気の)スイッチ、(思いがけない)転換、変更、ポイント、転轍(てんてつ)器、分岐器、(木から切り取った)しなやかな小枝、(しなやかな)むち、(女性用の長い)ヘアピース、入れ毛
水路、可航水路、運河、(陸地と島との間などの広い)海峡、(水を流す)水管、導管、(道路の)溝、側溝、暗渠(あんきよ)、(ラジオ・テレビなどの)チャンネル
聴力、聴覚、聞くこと、聴取、聞こえる距離、聞いてやること、傾聴、聞いてもらうこと、発言の機会、(委員会などの)聴聞会
ガラガラ、ドシン、ガチャン、(飛行機の)墜落、(車の)衝突、(相場・商売などの)つぶれること、急落、破滅
付加、追加、足し算、寄せ算、付加物、建て増し、増した土地
推薦する、推奨する、(…に)推薦する、(…を)勧める、勧める、勧告する、(…を)気に入らせる、(…の)取りえとする、魅力的にする
滑る、滑走する、滑り落ちる、滑り込む、(人に気づかれずに)そっと動く、(知らないうちに)過ぎる、陥る、さっと触れるだけにする
位置、場所、所在地、ありか、野外撮影地、ロケ(ーション)、位置の選定、位置づけ
貸し付け、貸すこと、ローン、(会社の)出向、貸付金、公債、借款、貸借物、外来の風習(など)、借用語
理想、極致、理想的なもの、典型、崇高な目標
可能にさせる、できるようにする、資格を与える、(…を)可能にする、容易にする、(…を)許す、許可する、作動させる、(…に)スイッチを入れる
余裕がある、買う余裕がある、持つ余裕がある、差しつかえない、与える、供給する、産する、(…を)与える
生きて、生きている者の(うちで)、活動して、存続して、生き生きした、活発な、(…で)活気づいて、(…で) 群がって、満ちて、気づいて
(特に、不快で非音楽的な)音、物音、雑音、騒音、(原因不明の)異音、(ラジオ・テレビ・電話などの)雑音、ノイズ
確かに、確実に、間違いなく、きっと、必ずや、まさか、よもや、確か、いいとも、もちろん
破る、負かす、挫折(ざせつ)させる、くつがえす、くじく
出生地の、自国の、本来の、その国に生まれた、その土地固有の、土着の、(…の)原産で、土産(どさん)で、生まれつきの、生来の
主題、題目、テーマ、(課題の)作文、主旋律
王子、皇子、親王、プリンス、(大国に守られた公国・小国の)王、君主、公、(英国以外の)公爵、(その道の)第一人者、大家
…されつつある、…であるので、…であること、…されること
まじめに、本気で、まじめな話だが、冗談はさておき、重く、ひどく、深刻に
文学、文芸、文学研究、著述、文筆業、文献、(広告・宣伝用などの)印刷物
